slug,vehicle_no,loading_out_time,unloading_in_time,origin,destination,consigner_code
CT9JPT00,RJ19GF9222,2020-07-01 22:36:38,2020-07-06 07:12:47,MERAMANDALI,KHOPOLI,BHUSHAN
CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,MERAMANDALI,KHOPOLI,BHUSHAN
CTQKPT00,RJ39GA2903,2020-07-01 22:49:14,2020-07-06 07:32:51,MERAMANDALI,KHOPOLI,BHUSHAN
CTZAQT00,RJ02GB4152,2020-07-02 13:50:30,2020-07-05 05:46:02,MERAMANDALI,NELLORE,BHUSHAN
CTBGQT00,RJ40GA2706,2020-07-02 04:51:26,2020-07-04 14:49:14,MERAMANDALI,NELLORE,BHUSHAN
CT7LQT00,NL01Q8019,2020-07-02 02:38:46,2020-07-06 05:55:12,MERAMANDALI,BANGALORE,BHUSHAN
CTQOQT00,MH43BP5431,2020-07-02 07:59:51,2020-07-05 20:56:54,MERAMANDALI,TALOJA,BHUSHAN
CTUOQT00,UP17T7368,2020-07-01 22:03:41,2020-07-07 11:05:51,MERAMANDALI,BHACHAU,BHUSHAN
CTVOQT00,UP17T7377,2020-07-01 22:05:04,2020-07-07 10:58:29,MERAMANDALI,BHACHAU,BHUSHAN
CTYOQT00,MH46BM2793,2020-07-02 06:24:53,2020-07-02 08:34:15,KHAPOLI,PUNE,BHUSHAN
CT60RT00,RJ02GB8125,2020-07-02 12:24:29,2020-07-05 10:57:57,MERAMANDALI,NELLORE,BHUSHAN
CT80RT00,RJ05GB1710,2020-07-02 08:03:05,2020-07-04 14:29:50,MERAMANDALI,NELLORE,BHUSHAN
CT90RT00,RJ11GB6006,2020-07-02 09:03:37,2020-07-05 23:31:09,MERAMANDALI,HYDERABAD,BHUSHAN
CTD0RT00,RJ02GB1985,2020-07-02 09:01:28,2020-07-05 22:27:00,MERAMANDALI,HYDERABAD,BHUSHAN
CTH0RT00,RJ02GA7612,2020-07-02 08:06:56,2020-07-06 01:58:42,MERAMANDALI,CHENNAI,BHUSHAN
CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,MERAMANDALI,KHOPOLI,BHUSHAN
CTW4RT00,HR55N9822,2020-07-02 07:09:25,2020-07-02 07:52:24,SAHIBABAD,Ghaziabad,BHUSHAN
CTD5RT00,HR55Q5407,2020-07-02 23:29:56,2020-07-03 04:59:58,SAHIBABAD,MANESAR,BHUSHAN
CTO5RT00,OD19P7449,2020-07-02 15:15:06,2020-07-03 05:49:10,MERAMANDALI,PAR,BHUSHAN
CT46RT00,NL01Q7979,2020-07-02 12:11:57,2020-07-07 15:03:43,MERAMANDALI,JODHPUR,BHUSHAN
CT86RT00,NL01K5420,2020-07-02 12:21:16,2020-07-04 07:44:17,MERAMANDALI,HALDIA,BHUSHAN
CT07RT00,OD14K5249,2020-07-02 15:21:52,2020-07-03 04:47:01,MERAMANDALI,PAR,BHUSHAN
CT27RT00,NL01AD9313,2020-07-02 21:25:33,2020-07-03 13:03:19,MERAMANDALI,PAR,BHUSHAN
CTY7RT00,OD04M6617,2020-07-02 23:31:54,2020-07-03 12:14:13,MERAMANDALI,PAR,BHUSHAN
CTF8RT00,NL01AD9310,2020-07-02 21:25:57,2020-07-03 12:49:47,MERAMANDALI,PAR,BHUSHAN
CTG8RT00,NL01AB0794,2020-07-02 23:53:01,2020-07-04 14:22:40,MERAMANDALI,HALDIA,BHUSHAN
CTJ8RT00,GJ12BW7383,2020-07-02 21:18:51,2020-07-09 04:09:30,SAHIBABAD,KHURDA,BHUSHAN
CT19RT00,NL01AD9308,2020-07-02 21:25:04,2020-07-03 11:25:50,MERAMANDALI,PAR,BHUSHAN
CT29RT00,OD33T6349,2020-07-03 11:53:29,2020-07-03 17:01:52,MERAMANDALI,GOPINATHPUR-CUTTACK,BHUSHAN
CT39RT00,OD14K5349,2020-07-02 19:47:42,2020-07-03 04:32:51,MERAMANDALI,PAR,BHUSHAN
CT49RT00,OD33T6049,2020-07-02 19:54:40,2020-07-03 07:20:47,MERAMANDALI,PAR,BHUSHAN
CTY9RT00,OD19N9449,2020-07-02 20:08:53,2020-07-03 07:20:40,MERAMANDALI,PAR,BHUSHAN
CT2ERT00,OD33T6249,2020-07-02 19:54:41,2020-07-03 04:18:22,MERAMANDALI,PAR,BHUSHAN
CTWHRT00,OD04M6517,2020-07-02 23:38:36,2020-07-03 15:37:37,MERAMANDALI,PAR,BHUSHAN
CTWKRT00,MH40BG8852,2020-07-03 04:32:40,2020-07-03 14:55:43,KHAPOLI,SANGLI,BHUSHAN
CTIMRT00,HR55M1515,2020-07-01 21:29:29,2020-07-02 00:14:19,SAHIBABAD,Mundka,BHUSHAN
CT3NRT00,HR55L9174,2020-07-04 00:23:16,2020-07-04 00:37:38,SAHIBABAD,Ghaziabad,BHUSHAN
CT4NRT00,HR55V4974,2020-07-03 03:42:01,2020-07-03 04:29:42,SAHIBABAD,Ghaziabad,BHUSHAN
CTIORT00,NL01AC8485,2020-07-04 06:20:12,2020-07-06 12:27:45,MERAMANDALI,NAGPUR,BHUSHAN
CTQSRT00,CG04MA0923,2020-07-03 03:57:54,2020-07-08 04:14:59,MERAMANDALI,TALOJA,BHUSHAN
CTRYRT00,MH46BM2815,2020-07-05 01:11:41,2020-07-05 09:55:28,KHAPOLI,NASHIK AMBAD,BHUSHAN
CT2ZRT00,RJ05GC1705,2020-07-03 01:19:59,2020-07-06 11:41:46,MERAMANDALI,GHAZIABAD,BHUSHAN
CT2DST00,OD14J4849,2020-07-03 04:25:24,2020-07-04 00:08:19,MERAMANDALI,PAR,BHUSHAN
CT7EST00,RJ02GB4276,2020-07-03 03:01:48,2020-07-07 19:15:52,MERAMANDALI,GHAZIABAD,BHUSHAN
CTJFST00,UP14JT4648,2020-07-03 11:32:56,2020-07-08 07:42:55,MERAMANDALI,Ghaziabad,BHUSHAN
CTGJST00,MH46F4737,2020-07-04 05:28:14,2020-07-04 08:31:26,KHAPOLI,PUNE,BHUSHAN
CT8KST00,MH18AA8856,2020-07-04 12:14:42,2020-07-05 14:14:44,KHAPOLI,JALNA,BHUSHAN
CTCKST00,MH40AK5372,2020-07-04 10:52:33,2020-07-06 11:10:33,KHAPOLI,NAGPUR,BHUSHAN
CTULST00,OD19P2749,2020-07-03 06:59:23,2020-07-03 15:51:11,MERAMANDALI,PAR,BHUSHAN
CTRMST00,NL01AB3269,2020-07-03 07:55:52,2020-07-07 09:55:34,MERAMANDALI,PILKHUWA,BHUSHAN
CTSMST00,NL01L9469,2020-07-03 08:02:17,2020-07-07 09:55:18,MERAMANDALI,PILKHUWA,BHUSHAN
CTTMST00,OD14K5149,2020-07-03 07:55:42,2020-07-03 22:58:41,MERAMANDALI,PAR,BHUSHAN
CTUMST00,OD19N9849,2020-07-03 07:27:48,2020-07-03 23:18:13,MERAMANDALI,PAR,BHUSHAN
CTWMST00,MH46BM2816,2020-07-04 20:46:18,2020-07-05 07:28:03,KHAPOLI,NASHIK AMBAD,BHUSHAN
CT9NST00,OD33T5849,2020-07-03 08:16:30,2020-07-03 23:18:48,MERAMANDALI,PAR,BHUSHAN
CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,MERAMANDALI,KHOPOLI,BHUSHAN
CTDNST00,RJ05GB9711,2020-07-03 07:08:02,2020-07-06 03:38:35,MERAMANDALI,Kanpur,BHUSHAN
CTENST00,MH18AA5706,2020-07-04 12:59:33,2020-07-05 04:29:28,KHAPOLI,JALNA,BHUSHAN
CTHNST00,OD04K3551,2020-07-03 15:32:00,2020-07-09 11:40:57,MERAMANDALI,COIMBATORE,BHUSHAN
CTQNST00,UP25BT9779,2020-07-03 01:21:42,2020-07-05 20:10:39,MERAMANDALI,Varanasi,BHUSHAN
CTUPST00,RJ02GB3368,2020-07-03 23:47:35,2020-07-07 10:46:24,MERAMANDALI,NELLORE,BHUSHAN
CTYQST00,NL01AD0154,2020-07-03 20:18:00,2020-07-04 12:51:59,MERAMANDALI,PAR,BHUSHAN
CT9SST00,HR55V0493,2020-07-03 08:24:57,2020-07-04 00:39:58,SAHIBABAD,Ghaziabad,BHUSHAN
CTNSST00,NL01L5829,2020-07-03 20:24:20,2020-07-08 10:04:20,MERAMANDALI,PILKHUWA,BHUSHAN
CTOSST00,NL01L5869,2020-07-03 17:23:00,2020-07-08 13:06:04,MERAMANDALI,PILKHUWA,BHUSHAN
CTPSST00,NL01L1029,2020-07-04 03:17:16,2020-07-08 13:06:29,MERAMANDALI,PILKHUWA,BHUSHAN
CTQSST00,NL01AC9639,2020-07-03 23:40:18,2020-07-08 10:04:58,MERAMANDALI,PILKHUWA,BHUSHAN
CT4TST00,NL01L6449,2020-07-03 11:53:35,2020-07-07 09:27:35,MERAMANDALI,FARIDABAD,BHUSHAN
CTDTST00,OD19N9749,2020-07-03 20:59:32,2020-07-04 06:34:11,MERAMANDALI,PAR,BHUSHAN
CTKTST00,OD19P7349,2020-07-03 20:52:29,2020-07-04 06:33:53,MERAMANDALI,PAR,BHUSHAN
CTMTST00,OD14K9849,2020-07-03 20:52:40,2020-07-04 06:40:44,MERAMANDALI,PAR,BHUSHAN
CTNTST00,OD19N9249,2020-07-03 20:59:24,2020-07-04 06:34:02,MERAMANDALI,PAR,BHUSHAN
CTOTST00,OD19P2549,2020-07-03 21:14:13,2020-07-04 07:58:10,MERAMANDALI,PAR,BHUSHAN
CTPTST00,OD19N9549,2020-07-03 20:45:15,2020-07-04 06:40:43,MERAMANDALI,PAR,BHUSHAN
CT7VST00,OD19N8949,2020-07-04 05:09:53,2020-07-04 14:08:10,MERAMANDALI,PAR,BHUSHAN
CT8VST00,OD19N9349,2020-07-04 05:09:32,2020-07-04 14:08:33,MERAMANDALI,PAR,BHUSHAN
CT2XST00,OD14K5449,2020-07-04 05:09:56,2020-07-04 18:27:30,MERAMANDALI,PAR,BHUSHAN
CT4YST00,NL01AB0949,2020-07-04 11:06:43,2020-07-08 21:50:52,MERAMANDALI,COCHIN,BHUSHAN
