route,trip_id,vehicle_no,loading_out_time,unloading_in_time,poi_id,ist_timestamp,distance_travelled,time_taken,time_taken_actual,time_taken_predicted
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106502,2020-07-22 20:30:53,221.6,17.28,148.05,97.91652486246397
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106550,2020-07-23 00:07:58,299.98,20.88,144.43194444444447,116.01763779731897
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106551,2020-07-23 01:32:17,355.75,22.32,143.02666666666667,113.926128918372
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106522,2020-07-23 03:10:10,413.35,24.0,141.3952777777778,111.34721107456687
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106523,2020-07-23 03:52:10,442.95,24.72,140.6952777777778,110.75583621612196
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106470,2020-07-23 04:05:49,451.14,24.96,140.4677777777778,107.81256438198432
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106471,2020-07-23 04:47:30,472.66,25.68,139.77305555555557,106.87089026761424
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106172,2020-07-23 05:01:41,480.69,25.92,139.5366666666667,107.15274874422505
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106169,2020-07-23 05:30:15,501.4,26.400000000000002,139.06055555555557,104.45758364291294
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106286,2020-07-23 09:56:01,615.24,30.72,134.63111111111112,76.81039679938709
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106460,2020-07-23 12:37:04,653.43,33.36,131.94694444444445,72.68359881481223
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106529,2020-07-23 13:33:09,688.82,34.32,131.01222222222225,74.68850252022975
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,114255,2020-07-23 13:54:09,703.75,34.8,130.66222222222223,74.3499884192592
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,883848,2020-07-28 15:35:15,82763.7,156.48,8.977222222222224,-15.393130286861151
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,285259,2020-07-28 15:48:49,82769.1,156.72,8.751111111111111,-12.646479550749575
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,883864,2020-07-28 18:01:53,82820.48,158.88,6.533333333333333,-13.748957241375876
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106393,2020-07-28 22:34:34,82971.82,163.44,1.988611111111111,-19.648569310580683
meramandali#anjar#bhushan,CTJJSU00,RJ04GA5032,2020-07-22 03:08:32,2020-07-29 00:33:53,106219,2020-07-28 23:09:49,82993.57,163.92000000000002,1.4011111111111112,-19.80019659425301
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106502,2020-07-24 02:52:16,226.82,27.36,131.79138888888892,104.61658740184598
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106550,2020-07-24 18:55:05,308.51,43.2,115.74444444444444,104.95714449375927
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106551,2020-07-24 21:39:16,369.15,46.08,113.00805555555556,101.85103755226402
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106522,2020-07-24 22:56:11,428.49,47.28,111.72611111111111,101.39880385048673
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106523,2020-07-25 00:13:11,461.66,48.72,110.44277777777778,86.19282327828182
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106470,2020-07-25 00:26:22,470.77,48.72,110.22305555555556,82.66633731167303
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106471,2020-07-25 01:14:23,492.51,49.67999999999999,109.42277777777778,81.99744345523487
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106172,2020-07-25 01:25:23,498.28,49.92,109.23944444444444,81.96423082290113
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106169,2020-07-25 03:18:34,521.68,51.599999999999994,107.35305555555556,79.74303008059348
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106286,2020-07-25 15:16:52,640.89,63.599999999999994,95.38138888888889,73.42114760924233
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106460,2020-07-25 17:18:51,679.7,65.76,93.34833333333333,64.59035689744917
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106529,2020-07-25 18:13:51,714.44,66.72,92.43166666666667,75.65734606150784
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,114255,2020-07-25 18:33:51,728.31,66.96000000000001,92.09833333333333,74.67047476355572
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,883848,2020-07-28 23:36:22,1743.7,144.0,15.05638888888889,12.191499518130854
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,285259,2020-07-28 23:53:22,1752.78,144.24,14.773055555555555,16.38090438373166
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,883864,2020-07-29 01:36:35,1803.52,145.92000000000002,13.052777777777777,13.800981477514256
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106393,2020-07-29 11:48:33,1958.53,156.24,2.8533333333333335,5.820669829266251
meramandali#anjar#bhushan,CT1HSU00,RJ04GA8331,2020-07-22 23:36:12,2020-07-29 14:39:45,106219,2020-07-29 13:30:45,1980.32,157.92000000000002,1.15,4.132936878850671
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106502,2020-07-24 14:31:18,219.04,27.839999999999996,123.66361111111111,101.7973220096344
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106550,2020-07-24 18:07:29,299.4,31.44,120.06055555555555,93.4474619707446
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106551,2020-07-24 21:44:38,354.67,35.04,116.4413888888889,91.57530416204497
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106522,2020-07-25 00:32:48,410.33,37.68,113.63861111111112,125.70546328260787
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106523,2020-07-25 01:49:59,444.78,39.12,112.35222222222222,125.72722634211664
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106470,2020-07-25 14:25:35,451.11,51.599999999999994,99.75888888888889,78.87889282777263
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106471,2020-07-25 15:29:17,474.59,52.800000000000004,98.69722222222222,78.28620152888044
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106172,2020-07-25 15:43:20,481.6,53.04,98.46305555555556,77.89027331039262
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106169,2020-07-25 17:27:26,502.39,54.72,96.72805555555556,76.21625894523459
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106286,2020-07-25 23:53:34,617.44,61.199999999999996,90.2925,73.15836435231438
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106460,2020-07-26 01:23:49,657.61,62.64,88.78833333333333,72.30504923006436
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106529,2020-07-26 02:20:09,689.78,63.599999999999994,87.84944444444444,72.45139676682862
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,114255,2020-07-26 02:48:09,703.64,64.08,87.38277777777778,73.22981082810622
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,883848,2020-07-29 01:36:48,1519.14,134.88,16.571944444444448,10.9465082022395
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,285259,2020-07-29 01:57:31,1529.65,135.12,16.22666666666667,13.842682220956362
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,883864,2020-07-29 03:29:17,1577.26,136.8,14.697222222222223,11.005765351915102
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106393,2020-07-29 15:15:44,1731.43,148.56,2.9230555555555555,1.3640374692372461
meramandali#anjar#bhushan,CTAGSU00,RJ04GA5946,2020-07-23 10:45:12,2020-07-29 18:11:07,106219,2020-07-29 15:51:05,1753.81,149.04,2.3338888888888887,0.7923954965459075
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106502,2020-07-22 12:07:44,225.76,10.8,114.93333333333334,97.96853965180298
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106550,2020-07-22 16:00:32,308.13,14.64,111.05333333333333,94.76515925417044
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106551,2020-07-22 17:30:45,367.26,16.32,109.54972222222223,92.26242993293334
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106522,2020-07-23 00:40:57,427.61,23.28,102.37972222222223,110.49534708532013
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106523,2020-07-23 01:22:57,460.8,24.0,101.67972222222222,110.19555891167033
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106470,2020-07-23 01:34:57,470.39,24.240000000000002,101.47972222222222,106.84862657900266
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106471,2020-07-23 02:11:08,492.01,24.96,100.87666666666667,106.25307600958263
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106172,2020-07-23 02:19:08,497.39,24.96,100.74333333333334,106.18226888923579
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106169,2020-07-23 02:50:10,520.82,25.44,100.22611111111111,103.53425214785199
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106286,2020-07-23 12:01:51,638.0,34.8,91.03138888888888,77.69840266066643
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106460,2020-07-23 13:09:27,678.5,35.76,89.90472222222222,76.06258605441963
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106529,2020-07-23 14:05:29,712.29,36.72,88.97083333333333,75.00242167391241
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,114255,2020-07-23 14:24:29,725.97,37.2,88.65416666666667,74.6627786159275
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,883848,2020-07-26 14:33:27,1719.09,109.19999999999999,16.504722222222224,12.90914795591658
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,285259,2020-07-26 14:47:27,1726.84,109.44,16.27138888888889,15.018451775794006
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,883864,2020-07-26 19:29:36,1776.47,114.24,11.568888888888889,13.55866778577905
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106393,2020-07-27 00:06:57,1931.92,118.80000000000001,6.9463888888888885,0.3303214484693626
meramandali#anjar#bhushan,CTYFSU00,RJ04GB0822,2020-07-22 01:17:05,2020-07-27 07:03:44,106219,2020-07-27 06:25:32,1954.27,125.03999999999999,0.6366666666666667,1.4331594004925137
meramandali#anjar#bhushan,CTXFSU00,RJ04GA6229,2020-07-21 14:10:27,2020-07-25 08:18:26,106502,2020-07-22 07:26:54,214.86,17.28,72.85888888888888,97.06432035575614
meramandali#anjar#bhushan,CTXFSU00,RJ04GA6229,2020-07-21 14:10:27,2020-07-25 08:18:26,106550,2020-07-22 11:04:04,294.47,20.88,69.23944444444446,92.25882927656181
meramandali#anjar#bhushan,CTXFSU00,RJ04GA6229,2020-07-21 14:10:27,2020-07-25 08:18:26,106551,2020-07-22 12:27:31,349.75,22.32,67.84861111111113,88.9692886726146
meramandali#anjar#bhushan,CTXFSU00,RJ04GA6229,2020-07-21 14:10:27,2020-07-25 08:18:26,106522,2020-07-22 15:15:39,406.91,25.200000000000003,65.0463888888889,86.91267192287023
meramandali#anjar#bhushan,CTXFSU00,RJ04GA6229,2020-07-21 14:10:27,2020-07-25 08:18:26,106523,2020-07-22 16:05:11,440.42,25.92,64.22083333333333,87.11723862728547
meramandali#anjar#bhushan,CTXFSU00,RJ04GA6229,2020-07-21 14:10:27,2020-07-25 08:18:26,106470,2020-07-22 16:18:59,447.12,26.160000000000004,63.990833333333335,84.31306121280079
meramandali#anjar#bhushan,CTXFSU00,RJ04GA6229,2020-07-21 14:10:27,2020-07-25 08:18:26,883848,2020-07-24 23:05:19,1435.16,80.88,9.21861111111111,13.103223912649241
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,106502,2020-07-22 12:13:26,217.45,19.44,99.53305555555555,97.92103039646526
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,106550,2020-07-22 21:47:23,294.77,29.04,89.96722222222222,94.10287754869125
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,106551,2020-07-22 23:04:24,352.57,30.240000000000002,88.6836111111111,91.48151330357416
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,106522,2020-07-23 05:50:40,409.87,37.2,81.9125,87.56081910189687
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,106523,2020-07-23 06:32:40,439.02,37.68,81.2125,87.671435700941
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,106470,2020-07-23 06:54:22,449.11,38.160000000000004,80.85083333333333,84.66948649947585
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,106471,2020-07-23 07:35:22,469.32,38.88,80.1675,82.21683759252448
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,106172,2020-07-23 07:49:23,476.72,39.12,79.93388888888889,82.1504264835591
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,106169,2020-07-23 08:17:22,496.51,39.599999999999994,79.4675,79.45320913578223
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,114255,2020-07-23 22:59:38,696.26,54.239999999999995,64.76305555555555,70.65907412251721
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,285259,2020-07-26 02:26:35,1518.05,105.60000000000001,13.313888888888888,16.146176301268554
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,883864,2020-07-26 08:23:35,1564.81,111.60000000000001,7.363888888888889,12.910989527332731
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,106393,2020-07-26 12:21:35,1717.31,115.68,3.397222222222222,3.9966775812549145
meramandali#anjar#bhushan,CT38SU00,RJ04GA6417,2020-07-21 16:45:13,2020-07-26 15:45:25,106219,2020-07-26 15:02:36,1740.48,118.32,0.7136111111111111,2.450612716609328
meramandali#anjar#bhushan,CT0YRU00,RJ04GA8322,2020-07-21 14:03:27,2020-07-26 07:55:53,106502,2020-07-22 07:26:26,217.91,17.28,96.49083333333333,97.0599763650568
meramandali#anjar#bhushan,CT0YRU00,RJ04GA8322,2020-07-21 14:03:27,2020-07-26 07:55:53,106550,2020-07-22 11:04:20,295.1,21.12,92.85916666666667,92.25990750415906
meramandali#anjar#bhushan,CT0YRU00,RJ04GA8322,2020-07-21 14:03:27,2020-07-26 07:55:53,106551,2020-07-22 12:28:06,350.13,22.32,91.46305555555556,88.9713257773007
meramandali#anjar#bhushan,CT0YRU00,RJ04GA8322,2020-07-21 14:03:27,2020-07-26 07:55:53,106522,2020-07-22 15:15:37,408.63,25.200000000000003,88.67111111111112,86.91221715402008
meramandali#anjar#bhushan,CT0YRU00,RJ04GA8322,2020-07-21 14:03:27,2020-07-26 07:55:53,106523,2020-07-22 16:04:29,442.07,25.92,87.85666666666667,87.11676987810137
meramandali#anjar#bhushan,CT0YRU00,RJ04GA8322,2020-07-21 14:03:27,2020-07-26 07:55:53,106470,2020-07-22 16:18:47,449.66,26.160000000000004,87.61833333333334,84.31137237091747
meramandali#anjar#bhushan,CT0YRU00,RJ04GA8322,2020-07-21 14:03:27,2020-07-26 07:55:53,106471,2020-07-22 17:07:45,471.8,27.119999999999997,86.80222222222223,83.99081865733535
meramandali#anjar#bhushan,CT0YRU00,RJ04GA8322,2020-07-21 14:03:27,2020-07-26 07:55:53,106172,2020-07-22 17:15:13,475.24,27.119999999999997,86.67777777777778,83.83933517001702
meramandali#anjar#bhushan,CT0YRU00,RJ04GA8322,2020-07-21 14:03:27,2020-07-26 07:55:53,106169,2020-07-22 18:53:19,498.61,28.799999999999997,85.04277777777777,80.91215598938584
