route,trip_id,vehicle_no,loading_out_time,unloading_in_time,poi_id,ist_timestamp,distance_travelled,time_taken,time_taken_actual,time_taken_predicted
meramandali#haldia#bhushan,CTJ21U00,OD04P6159,2020-07-09 17:13:14,2020-07-11 02:07:30,106311,2020-07-10 12:02:55,86.46,18.72,14.07638888888889,18.95033669149543
meramandali#haldia#bhushan,CTJ21U00,OD04P6159,2020-07-09 17:13:14,2020-07-11 02:07:30,114196,2020-07-10 12:02:55,86.46,18.72,14.07638888888889,18.913754752335272
meramandali#haldia#bhushan,CTJ21U00,OD04P6159,2020-07-09 17:13:14,2020-07-11 02:07:30,106310,2020-07-10 13:27:08,137.83,20.16,12.672777777777778,17.462076060831013
meramandali#haldia#bhushan,CTJ21U00,OD04P6159,2020-07-09 17:13:14,2020-07-11 02:07:30,106309,2020-07-10 17:40:30,245.57,24.48,8.450000000000001,13.847828611610357
meramandali#haldia#bhushan,CTJ21U00,OD04P6159,2020-07-09 17:13:14,2020-07-11 02:07:30,106358,2020-07-10 20:53:53,365.45,27.599999999999998,5.226944444444444,13.520220143745853
meramandali#haldia#bhushan,CTJ21U00,OD04P6159,2020-07-09 17:13:14,2020-07-11 02:07:30,106365,2020-07-10 23:27:54,398.79,30.240000000000002,2.66,11.779741944099781
meramandali#haldia#bhushan,CTJ21U00,OD04P6159,2020-07-09 17:13:14,2020-07-11 02:07:30,106366,2020-07-11 01:01:30,447.28,31.92,1.1,5.006283103880504
meramandali#haldia#bhushan,CTG8RT00,NL01AB0794,2020-07-02 23:53:01,2020-07-04 14:22:40,106311,2020-07-03 12:00:23,85.23,12.24,26.371388888888887,21.726799088715083
meramandali#haldia#bhushan,CTG8RT00,NL01AB0794,2020-07-02 23:53:01,2020-07-04 14:22:40,114196,2020-07-03 12:00:23,85.23,12.24,26.371388888888887,21.71358661680567
meramandali#haldia#bhushan,CTG8RT00,NL01AB0794,2020-07-02 23:53:01,2020-07-04 14:22:40,106310,2020-07-03 14:20:27,135.16,14.399999999999999,24.036944444444444,20.248102317144166
meramandali#haldia#bhushan,CTG8RT00,NL01AB0794,2020-07-02 23:53:01,2020-07-04 14:22:40,106309,2020-07-03 18:04:58,227.44,18.240000000000002,20.295,17.032585780899595
meramandali#haldia#bhushan,CTG8RT00,NL01AB0794,2020-07-02 23:53:01,2020-07-04 14:22:40,106358,2020-07-04 11:20:44,339.21,35.519999999999996,3.0322222222222224,9.060591535495155
meramandali#haldia#bhushan,CTG8RT00,NL01AB0794,2020-07-02 23:53:01,2020-07-04 14:22:40,106365,2020-07-04 12:09:23,370.54,36.24,2.2213888888888893,7.669199928961261
meramandali#haldia#bhushan,CTG8RT00,NL01AB0794,2020-07-02 23:53:01,2020-07-04 14:22:40,106366,2020-07-04 13:33:19,415.9,37.68,0.8225,6.884835325713506
meramandali#haldia#bhushan,CT86RT00,NL01K5420,2020-07-02 12:21:16,2020-07-04 07:44:17,106311,2020-07-03 04:03:44,88.44,15.600000000000001,27.675833333333333,19.17960629325085
meramandali#haldia#bhushan,CT86RT00,NL01K5420,2020-07-02 12:21:16,2020-07-04 07:44:17,114196,2020-07-03 04:03:44,88.44,15.600000000000001,27.675833333333333,19.13237687242337
meramandali#haldia#bhushan,CT86RT00,NL01K5420,2020-07-02 12:21:16,2020-07-04 07:44:17,106310,2020-07-03 05:35:22,134.48,17.28,26.148611111111112,17.206147111583057
meramandali#haldia#bhushan,CT86RT00,NL01K5420,2020-07-02 12:21:16,2020-07-04 07:44:17,106309,2020-07-03 15:58:15,215.97,27.599999999999998,15.767222222222221,13.835618590419234
meramandali#haldia#bhushan,CT86RT00,NL01K5420,2020-07-02 12:21:16,2020-07-04 07:44:17,106358,2020-07-04 03:20:23,336.07,38.88,4.398333333333333,6.910230219905399
meramandali#haldia#bhushan,CT86RT00,NL01K5420,2020-07-02 12:21:16,2020-07-04 07:44:17,106365,2020-07-04 05:25:34,369.46,41.04,2.3119444444444444,5.275708117152366
meramandali#haldia#bhushan,CT86RT00,NL01K5420,2020-07-02 12:21:16,2020-07-04 07:44:17,106366,2020-07-04 07:22:18,417.33,42.96,0.3663888888888889,4.394246009158332
