route,trip_id,vehicle_no,loading_out_time,unloading_in_time,poi_id,ist_timestamp,distance_travelled,time_taken,time_taken_actual,time_taken_predicted
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,285183,2020-07-16 10:37:20,113.18,22.080000000000002,117.63388888888889,100.11440104768451
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106308,2020-07-16 11:19:29,139.04,22.799999999999997,116.93138888888889,99.12180252256735
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106306,2020-07-16 13:39:33,221.14,25.200000000000003,114.59694444444445,95.95405472048071
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106368,2020-07-16 21:07:21,416.13,32.64,107.13361111111111,78.70290237916902
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106341,2020-07-16 21:49:25,439.4,33.36,106.4325,77.71548328914446
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106312,2020-07-17 17:09:11,659.53,52.800000000000004,87.10305555555556,58.191851145856496
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106380,2020-07-17 22:17:10,799.78,57.84,81.97,52.497932943113135
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106379,2020-07-17 22:59:10,819.73,58.56,81.27,51.26239355485438
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,285257,2020-07-17 23:34:10,841.97,59.04,80.68666666666667,50.28938375843233
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106362,2020-07-18 00:09:09,862.72,59.760000000000005,80.1036111111111,40.5330088769009
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106383,2020-07-18 07:16:11,943.03,66.72,72.98638888888888,39.87872963546874
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106382,2020-07-18 11:56:09,1063.34,71.52,68.32027777777779,34.74583519607051
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106240,2020-07-19 21:46:11,1589.82,105.35999999999999,34.48638888888889,10.312983519308311
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106242,2020-07-20 09:33:10,1645.45,117.12,22.703333333333333,22.810502946632134
meramandali#kerala pala#bhushan,CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,106535,2020-07-20 11:32:09,1704.37,119.03999999999999,20.720277777777778,18.265099695123347
meramandali#kerala pala#bhushan,CTJFCU00,OD04K2961,2020-07-14 12:46:22,2020-07-19 06:22:11,285183,2020-07-14 23:16:22,113.56,10.56,103.09694444444445,124.63728593574149
meramandali#kerala pala#bhushan,CTJFCU00,OD04K2961,2020-07-14 12:46:22,2020-07-19 06:22:11,106308,2020-07-14 23:51:26,135.64,11.040000000000001,102.5125,122.4729190593007
