route,trip_id,vehicle_no,loading_out_time,unloading_in_time,poi_id,ist_timestamp,distance_travelled,time_taken,time_taken_actual,time_taken_predicted
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106502,2020-07-16 13:16:40,225.73,17.04,55.700833333333335,68.40683935653388
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106550,2020-07-16 16:55:02,308.25,20.64,52.06138888888889,63.11775053572142
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106551,2020-07-16 18:13:13,367.3,21.84,50.75833333333333,60.14260461076271
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106522,2020-07-16 20:08:35,426.7,23.759999999999998,48.83555555555556,58.34201435849851
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106523,2020-07-16 21:22:35,460.7,24.96,47.602222222222224,56.459681686809496
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106470,2020-07-16 21:36:46,469.56,25.200000000000003,47.365833333333335,56.2535198203941
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106471,2020-07-16 22:27:46,491.16,26.160000000000004,46.51583333333333,55.271989767069165
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106172,2020-07-16 22:39:46,496.91,26.400000000000002,46.31583333333333,55.05778413854048
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106169,2020-07-16 23:17:48,520.93,26.880000000000003,45.68194444444445,54.05179596964994
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106286,2020-07-17 02:12:59,637.64,30.0,42.76222222222222,45.32866563578117
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106460,2020-07-17 03:14:15,676.99,30.96,41.74111111111111,43.951031131762015
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,106529,2020-07-17 04:16:16,711.29,31.92,40.7075,42.33601233866819
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,114255,2020-07-17 04:41:27,724.97,32.400000000000006,40.28777777777778,42.0729310926429
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,1244375,2020-07-17 23:20:34,1251.09,51.12,21.635833333333334,15.57453682861533
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,285173,2020-07-17 23:44:45,1262.86,51.36,21.232777777777777,16.742937774888723
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,1244376,2020-07-18 08:31:32,1292.97,60.239999999999995,12.453055555555556,8.055439370443771
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,1244341,2020-07-18 09:53:45,1350.33,61.67999999999999,11.082777777777778,8.318367161363888
meramandali#khopoli#bhushan,CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,1244378,2020-07-18 12:17:55,1402.49,64.08,8.680000000000001,6.438508558272893
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106502,2020-07-04 13:35:01,213.45,26.880000000000003,84.35166666666667,76.49220431622973
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106550,2020-07-04 17:54:05,293.27,31.200000000000003,80.0338888888889,71.40496351771702
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106551,2020-07-04 20:21:05,348.56,33.599999999999994,77.5838888888889,68.78422259873113
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106522,2020-07-04 21:45:13,404.25,35.04,76.18166666666667,64.82496659199117
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106523,2020-07-05 04:31:00,436.75,42.0,69.41861111111112,64.37424069140198
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106470,2020-07-05 04:45:05,444.96,42.0,69.1838888888889,64.31141801841594
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106471,2020-07-05 05:27:05,465.11,42.72,68.4838888888889,63.5623850020907
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106172,2020-07-05 05:41:08,472.54,42.96,68.24972222222223,63.29555422575498
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106169,2020-07-05 06:16:12,494.2,43.68,67.66527777777779,62.460002488895164
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106286,2020-07-05 10:27:59,608.89,47.76,63.46888888888889,54.82485001568893
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106460,2020-07-05 13:44:00,648.22,51.12,60.20194444444444,53.28201307104677
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,106529,2020-07-05 14:40:01,681.6,52.08,59.26833333333333,51.54009168085032
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,1244375,2020-07-07 05:58:59,1144.73,91.44,19.952222222222222,18.29343089986839
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,1244376,2020-07-07 07:37:01,1183.19,92.88,18.31833333333333,10.63497660261924
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,1244341,2020-07-07 09:01:09,1239.88,94.32000000000001,16.916111111111114,10.961501598931498
meramandali#khopoli#bhushan,CTANST00,OD04K3370,2020-07-03 10:38:01,2020-07-08 01:56:07,1244378,2020-07-07 12:16:59,1287.28,97.68,13.652222222222223,8.866158525408345
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106502,2020-07-03 10:09:51,231.94,16.799999999999997,95.79861111111111,73.94990509003037
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106550,2020-07-03 15:21:22,313.76,22.080000000000002,90.60666666666667,69.376832434113
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106551,2020-07-03 19:32:33,372.58,26.160000000000004,86.42027777777778,67.15007734153355
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106522,2020-07-03 22:55:09,431.92,29.52,83.0436111111111,63.2948237462195
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106523,2020-07-03 23:56:08,465.59,30.72,82.02722222222222,60.97324699035696
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106470,2020-07-04 00:10:08,474.06,30.96,81.79388888888889,60.116069766129236
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106471,2020-07-04 01:01:20,496.31,31.68,80.94055555555556,59.239526164061296
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106172,2020-07-04 01:13:20,502.0,31.92,80.74055555555556,59.02049942167576
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106169,2020-07-04 01:51:20,525.72,32.64,80.10722222222222,58.05170441969269
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106286,2020-07-04 16:23:54,641.9,47.04,65.56444444444445,54.03929818267164
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106460,2020-07-04 18:01:35,681.89,48.72,63.93638888888889,52.51101793025041
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,106529,2020-07-04 22:10:58,716.22,52.800000000000004,59.78,50.785776532359215
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,114255,2020-07-04 22:33:58,730.55,53.28,59.39666666666667,50.46405885290627
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,285173,2020-07-06 02:03:25,1228.87,80.88,31.905833333333334,18.8863080081966
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,1244341,2020-07-06 18:21:13,1316.62,96.96000000000001,15.609166666666667,8.87972071188161
meramandali#khopoli#bhushan,CTB3RT00,RJ19GF4823,2020-07-02 17:17:12,2020-07-07 09:57:46,1244378,2020-07-06 23:04:36,1360.02,101.76,10.886111111111111,6.78546941007756
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106502,2020-07-02 21:09:04,225.45,22.32,82.04555555555555,76.93494971109982
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106550,2020-07-03 00:51:31,307.54,25.92,78.33805555555556,70.86643488593151
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106551,2020-07-03 10:13:21,366.99,35.519999999999996,68.97416666666668,68.86853144187884
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106522,2020-07-03 12:10:36,426.7,37.44,67.02000000000001,64.72652412354174
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106523,2020-07-03 15:13:59,460.72,40.32,63.96361111111111,65.21721945562174
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106470,2020-07-03 15:27:59,469.31,40.56,63.73027777777778,65.09026309414716
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106471,2020-07-03 16:21:59,491.54,41.519999999999996,62.83027777777778,64.13935294529063
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106172,2020-07-03 16:34:59,497.5,41.76,62.61361111111111,63.90544031327675
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106169,2020-07-03 17:07:11,520.8,42.24,62.07694444444444,63.064189684868616
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106286,2020-07-03 21:49:28,637.07,47.04,57.37222222222222,55.276869110918945
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106460,2020-07-04 05:44:17,677.34,54.96,49.45861111111111,52.85831563589053
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,106529,2020-07-04 07:00:29,711.6,56.16,48.18861111111111,51.22017972405211
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,114255,2020-07-04 07:19:29,725.02,56.400000000000006,47.871944444444445,50.98560462084202
meramandali#khopoli#bhushan,CTLKPT00,RJ39GA5022,2020-07-01 22:49:08,2020-07-06 07:11:48,285173,2020-07-05 13:47:04,1205.59,86.88,17.412222222222223,23.915969351682072
