route,trip_id,vehicle_no,loading_out_time,unloading_in_time,poi_id,ist_timestamp,distance_travelled,time_taken,time_taken_actual,time_taken_predicted
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,285183,2020-07-14 07:15:16,113.97,37.2,96.5675,105.3041984814244
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106308,2020-07-14 07:50:16,135.35,37.68,95.98416666666667,104.5526756701884
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106306,2020-07-14 11:06:25,222.46,41.04,92.715,99.33241535818483
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106367,2020-07-14 14:08:19,305.9,43.92,89.68333333333334,95.52104738326891
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106368,2020-07-14 18:34:20,417.13,48.480000000000004,85.24972222222222,88.71761830046607
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106341,2020-07-14 19:30:49,442.07,49.44,84.30833333333334,87.55387169219755
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106339,2020-07-14 20:40:58,481.51,50.64,83.13916666666667,85.83504489039096
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106378,2020-07-14 20:40:58,481.51,50.64,83.13916666666667,85.83500064785248
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106355,2020-07-15 09:37:32,604.47,63.36,70.19638888888889,71.14946218170012
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106312,2020-07-15 13:15:03,670.69,67.19999999999999,66.57111111111112,68.10652411950143
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106380,2020-07-15 19:25:56,811.5,73.19999999999999,60.389722222222225,60.15126939426948
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,285257,2020-07-15 21:01:26,856.37,74.88,58.79805555555556,58.189381080604264
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106362,2020-07-15 21:31:32,876.01,75.36,58.29638888888889,57.57475365895725
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106383,2020-07-15 23:51:47,955.7,77.76,55.958888888888886,54.32310839185065
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106384,2020-07-16 07:26:14,1019.19,85.19999999999999,48.38472222222222,46.49291465044625
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106382,2020-07-16 10:01:13,1075.64,87.84,45.80166666666667,42.56595494475475
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106375,2020-07-16 11:38:36,1141.62,89.52,44.17861111111111,40.18403143075379
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106363,2020-07-16 12:27:28,1173.24,90.24,43.36416666666667,38.95412578431028
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106251,2020-07-16 22:29:39,1420.31,100.32,33.32777777777778,27.109900622343545
meramandali#kottayam#bhushan,CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,106535,2020-07-17 16:04:19,1674.23,117.84,15.75,4.614032203417125
