route,trip_id,vehicle_no,loading_out_time,unloading_in_time,poi_id,ist_timestamp,distance_travelled,time_taken,time_taken_actual,time_taken_predicted
meramandali#nagpur mauza#bhushan,CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,106502,2020-07-15 21:53:44,225.59,22.080000000000002,27.739722222222223,20.422109885445312
meramandali#nagpur mauza#bhushan,CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,106550,2020-07-16 09:58:54,308.33,34.08,15.653611111111111,13.704887826422098
meramandali#nagpur mauza#bhushan,CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,106551,2020-07-16 11:47:07,367.69,35.76,13.85,14.687135488894373
meramandali#nagpur mauza#bhushan,CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,106522,2020-07-16 14:39:30,427.19,38.64,10.976944444444445,11.473612598849426
meramandali#nagpur mauza#bhushan,CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,106523,2020-07-16 15:45:42,460.44,39.839999999999996,9.873611111111112,10.18396577902846
meramandali#nagpur mauza#bhushan,CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,106470,2020-07-16 15:59:43,469.9,40.08,9.64,9.950573522696795
meramandali#nagpur mauza#bhushan,CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,106471,2020-07-16 17:18:54,491.5,41.28,8.320277777777779,10.640115000288134
meramandali#nagpur mauza#bhushan,CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,106172,2020-07-16 17:32:53,497.62,41.519999999999996,8.087222222222222,10.440907354988818
meramandali#nagpur mauza#bhushan,CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,106169,2020-07-16 19:01:54,520.53,43.2,6.603611111111111,7.546517531896292
meramandali#nagpur mauza#bhushan,CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,106286,2020-07-16 23:49:55,637.72,48.0,1.8033333333333332,0.020406200981723632
meramandali#nagpur mauza#bhushan,CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,106460,2020-07-17 00:55:07,677.0,48.96,0.7166666666666667,-3.675852711361801
meramandali#nagpur mauza#bhushan,CTS2FU00,GJ08AU4527,2020-07-15 04:34:24,2020-07-17 06:12:09,106502,2020-07-15 18:52:36,233.32,14.399999999999999,35.325833333333335,27.42017056804196
meramandali#nagpur mauza#bhushan,CTS2FU00,GJ08AU4527,2020-07-15 04:34:24,2020-07-17 06:12:09,106550,2020-07-15 21:56:55,315.77,17.28,32.25388888888889,22.226490649701418
meramandali#nagpur mauza#bhushan,CTS2FU00,GJ08AU4527,2020-07-15 04:34:24,2020-07-17 06:12:09,106551,2020-07-16 07:32:49,376.54,26.880000000000003,22.655555555555555,18.075115465569432
meramandali#nagpur mauza#bhushan,CTS2FU00,GJ08AU4527,2020-07-15 04:34:24,2020-07-17 06:12:09,106522,2020-07-16 08:51:16,436.49,28.32,21.348055555555554,16.60588502482083
meramandali#nagpur mauza#bhushan,CTS2FU00,GJ08AU4527,2020-07-15 04:34:24,2020-07-17 06:12:09,106523,2020-07-16 10:09:26,469.92,29.52,20.045277777777777,15.354182621418504
meramandali#nagpur mauza#bhushan,CTS2FU00,GJ08AU4527,2020-07-15 04:34:24,2020-07-17 06:12:09,106470,2020-07-16 10:25:26,478.78,29.759999999999998,19.77861111111111,15.054638121885741
meramandali#nagpur mauza#bhushan,CTS2FU00,GJ08AU4527,2020-07-15 04:34:24,2020-07-17 06:12:09,106471,2020-07-16 11:19:26,500.92,30.72,18.878611111111113,15.505018040370256
meramandali#nagpur mauza#bhushan,CTS2FU00,GJ08AU4527,2020-07-15 04:34:24,2020-07-17 06:12:09,106172,2020-07-16 11:33:26,506.75,30.96,18.64527777777778,15.276748682752064
meramandali#nagpur mauza#bhushan,CTS2FU00,GJ08AU4527,2020-07-15 04:34:24,2020-07-17 06:12:09,106169,2020-07-16 13:18:35,529.77,32.64,16.89277777777778,10.763193035469193
meramandali#nagpur mauza#bhushan,CTS2FU00,GJ08AU4527,2020-07-15 04:34:24,2020-07-17 06:12:09,106286,2020-07-16 16:48:01,647.26,36.24,13.402222222222223,3.1588540738723254
