route,trip_id,vehicle_no,loading_out_time,unloading_in_time,poi_id,ist_timestamp,distance_travelled,time_taken,time_taken_actual,time_taken_predicted
meramandali#nagpur#bhushan,CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,106502,2020-07-14 23:01:08,221.66,14.64,37.004444444444445,16.556579102421765
meramandali#nagpur#bhushan,CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,106550,2020-07-15 08:51:07,303.81,24.48,27.171388888888888,18.66926611328084
meramandali#nagpur#bhushan,CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,106551,2020-07-15 10:39:18,363.19,26.400000000000002,25.368333333333332,13.623282668291138
meramandali#nagpur#bhushan,CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,106522,2020-07-15 17:06:50,423.13,32.88,18.909444444444443,13.587490022565573
meramandali#nagpur#bhushan,CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,106523,2020-07-15 18:09:50,456.13,33.839999999999996,17.859444444444446,11.744113116863202
meramandali#nagpur#bhushan,CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,106470,2020-07-15 18:27:01,464.8,34.08,17.57305555555556,11.20557794334148
meramandali#nagpur#bhushan,CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,106471,2020-07-15 20:38:13,487.27,36.480000000000004,15.386388888888888,10.795073440273297
meramandali#nagpur#bhushan,CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,106172,2020-07-15 20:57:13,492.71,36.72,15.069722222222222,10.564468537515365
meramandali#nagpur#bhushan,CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,106169,2020-07-15 21:39:13,516.63,37.44,14.369722222222222,8.491235991910896
meramandali#nagpur#bhushan,CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,106286,2020-07-16 08:28:01,632.73,48.239999999999995,3.556388888888889,6.026955757938806
meramandali#nagpur#bhushan,CTT4DU00,RJ39GA3733,2020-07-14 08:16:06,2020-07-16 12:01:24,106460,2020-07-16 09:33:01,673.0,49.199999999999996,2.4730555555555553,2.3341514611411025
