route,trip_id,vehicle_no,loading_out_time,unloading_in_time,poi_id,ist_timestamp,distance_travelled,time_taken,time_taken_actual,time_taken_predicted
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106550,2020-07-21 13:15:18,287.52,39.36,67.89416666666668,76.79179098606654
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106551,2020-07-21 15:06:59,343.99,41.04,66.03277777777778,74.6701147759684
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106522,2020-07-21 17:05:36,398.33,43.2,64.05583333333334,72.0295726526612
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106470,2020-07-21 18:16:12,438.28,44.400000000000006,62.87916666666667,69.467142111629
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106471,2020-07-21 21:25:11,461.94,47.519999999999996,59.72944444444445,69.37388240014555
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106169,2020-07-21 22:06:21,487.23,48.239999999999995,59.04333333333334,66.98019786956716
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106286,2020-07-22 11:38:42,605.53,61.67999999999999,45.50416666666667,47.33795528185699
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106298,2020-07-22 17:00:49,785.53,66.96000000000001,40.135555555555555,42.38437175047564
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106221,2020-07-22 19:49:17,857.22,69.84,37.327777777777776,38.52165191145234
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106451,2020-07-23 12:58:17,1099.66,86.88,20.177777777777777,15.460836085092708
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106450,2020-07-23 13:34:24,1116.07,87.6,19.575833333333332,10.648475810470316
meramandali#nani daman (ut)#bhushan,CTH1PU00,RJ04GB6790,2020-07-19 21:58:26,2020-07-24 09:08:57,106518,2020-07-24 00:37:27,1368.59,98.64000000000001,8.525,-14.250716194934697
meramandali#nani daman (ut)#bhushan,CTA8FU00,RJ04GB8227,2020-07-15 08:27:55,2020-07-18 07:43:07,106550,2020-07-16 01:08:31,276.59,16.56,54.57666666666667,69.96873939270255
meramandali#nani daman (ut)#bhushan,CTA8FU00,RJ04GB8227,2020-07-15 08:27:55,2020-07-18 07:43:07,106551,2020-07-16 02:12:07,331.15,17.759999999999998,53.516666666666666,67.54809923673328
meramandali#nani daman (ut)#bhushan,CTA8FU00,RJ04GB8227,2020-07-15 08:27:55,2020-07-18 07:43:07,106522,2020-07-16 03:59:18,384.84,19.44,51.73027777777778,64.96052872905285
meramandali#nani daman (ut)#bhushan,CTA8FU00,RJ04GB8227,2020-07-15 08:27:55,2020-07-18 07:43:07,106470,2020-07-16 04:59:34,424.82,20.64,50.725833333333334,62.722558729834375
meramandali#nani daman (ut)#bhushan,CTA8FU00,RJ04GB8227,2020-07-15 08:27:55,2020-07-18 07:43:07,106471,2020-07-16 05:42:08,446.35,21.12,50.01638888888889,62.270074426902326
meramandali#nani daman (ut)#bhushan,CTA8FU00,RJ04GB8227,2020-07-15 08:27:55,2020-07-18 07:43:07,106172,2020-07-16 05:55:59,450.92,21.36,49.785555555555554,64.94015714062617
meramandali#nani daman (ut)#bhushan,CTA8FU00,RJ04GB8227,2020-07-15 08:27:55,2020-07-18 07:43:07,106169,2020-07-16 06:30:40,474.22,22.080000000000002,49.2075,59.09354469369005
meramandali#nani daman (ut)#bhushan,CTA8FU00,RJ04GB8227,2020-07-15 08:27:55,2020-07-18 07:43:07,106298,2020-07-16 17:43:15,757.67,33.36,37.99777777777778,46.61408976839145
