route,trip_id,vehicle_no,loading_out_time,unloading_in_time,poi_id,ist_timestamp,distance_travelled,time_taken,time_taken_actual,time_taken_predicted
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106308,2020-07-13 18:13:22,128.7,8.879999999999999,109.04694444444445,105.32541438719149
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106368,2020-07-14 10:47:22,404.45,25.44,92.48027777777777,76.36027529375345
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106341,2020-07-14 11:36:22,432.86,26.400000000000002,91.66361111111111,73.37966393290783
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106339,2020-07-14 13:35:21,469.76,28.32,89.68055555555556,73.62463749543393
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106378,2020-07-14 13:35:21,469.76,28.32,89.68055555555556,73.62459703151374
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106355,2020-07-14 17:26:20,589.9,32.160000000000004,85.83083333333333,61.182486721386525
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106312,2020-07-15 08:15:28,657.96,47.04,71.01194444444445,71.26192112288105
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106380,2020-07-15 14:40:21,827.99,53.519999999999996,64.59722222222223,63.34273887173926
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106379,2020-07-15 15:36:20,849.68,54.480000000000004,63.66416666666667,62.36689098869353
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106375,2020-07-16 11:54:20,1153.24,74.64,43.36416666666667,45.70892079187526
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106363,2020-07-16 12:43:22,1182.64,75.6,42.54694444444444,43.17218760623054
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106240,2020-07-17 16:41:09,1634.32,103.44,14.58388888888889,21.115140459524028
"meramandali#pulluvazhy, ernakulam#bhushan",CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,106242,2020-07-17 18:47:10,1687.03,105.60000000000001,12.483611111111111,22.55490515606685
