route,trip_id,vehicle_no,loading_out_time,unloading_in_time,poi_id,ist_timestamp,distance_travelled,time_taken,time_taken_actual,time_taken_predicted
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,285183,2020-07-20 17:38:42,116.72,14.64,45.15694444444444,82.43323787428828
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,114189,2020-07-20 18:06:52,136.7,15.120000000000001,44.6875,81.58881644336445
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,106308,2020-07-20 18:10:52,139.88,15.120000000000001,44.62083333333333,82.78950859726761
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,106306,2020-07-20 21:22:05,227.93,18.48,41.43388888888889,71.73819444596245
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,106367,2020-07-20 23:35:15,312.02,20.64,39.214444444444446,67.69770980919994
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,106368,2020-07-21 03:51:38,427.67,24.96,34.941388888888895,56.19634005306381
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,106341,2020-07-21 04:47:50,454.98,25.68,34.00472222222223,55.32305330483716
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,106339,2020-07-21 05:48:50,494.83,26.880000000000003,32.98805555555556,53.46031208449348
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,106378,2020-07-21 05:48:50,494.83,26.880000000000003,32.98805555555556,53.46045461155735
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,106355,2020-07-21 11:02:26,633.58,31.92,27.761388888888888,44.1042002085419
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,106312,2020-07-21 12:45:36,702.96,33.839999999999996,26.041944444444443,41.1158707279418
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,106478,2020-07-22 08:25:32,1096.53,53.519999999999996,6.376388888888889,18.090166332862687
meramandali#secunderabad#bhushan,CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,106356,2020-07-22 11:52:44,1155.0,56.88,2.9230555555555555,16.36419914116886
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,285183,2020-07-19 17:26:05,110.72,15.36,60.966944444444444,58.051755709195746
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,114189,2020-07-19 18:00:57,132.76,16.080000000000002,60.38583333333333,57.93826117253836
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,106308,2020-07-19 18:07:57,136.85,16.080000000000002,60.26916666666666,59.23030808282917
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,106306,2020-07-19 20:34:57,219.2,18.48,57.81916666666667,49.403884541431935
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,106367,2020-07-19 23:09:04,300.25,21.12,55.25055555555556,45.380809767200134
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,106368,2020-07-20 10:41:52,414.1,32.64,43.70388888888889,45.735829631289455
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,106341,2020-07-20 11:30:52,440.99,33.599999999999994,42.88722222222222,44.46668603788866
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,106339,2020-07-20 12:26:53,478.04,34.32,41.95361111111111,43.039426540229336
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,106378,2020-07-20 12:26:53,478.04,34.32,41.95361111111111,43.03957801600075
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,106312,2020-07-20 18:27:39,658.47,40.32,35.94083333333334,30.601633942478117
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,106478,2020-07-21 17:33:31,968.42,63.599999999999994,12.843055555555555,10.066458397739778
meramandali#secunderabad#bhushan,CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,106356,2020-07-22 05:56:06,1024.83,75.84,0.4666666666666667,6.363093574439594
meramandali#secunderabad#bhushan,CTMSMU00,NL01AE1339,2020-07-19 13:06:07,2020-07-23 05:16:10,285183,2020-07-20 11:16:37,111.86,22.080000000000002,65.9925,62.9100478311189
meramandali#secunderabad#bhushan,CTMSMU00,NL01AE1339,2020-07-19 13:06:07,2020-07-23 05:16:10,114189,2020-07-20 11:45:05,130.72,22.56,65.51805555555556,62.96274633642065
meramandali#secunderabad#bhushan,CTMSMU00,NL01AE1339,2020-07-19 13:06:07,2020-07-23 05:16:10,106308,2020-07-20 11:51:53,135.47,22.799999999999997,65.40472222222223,64.11726209188261
meramandali#secunderabad#bhushan,CTMSMU00,NL01AE1339,2020-07-19 13:06:07,2020-07-23 05:16:10,106367,2020-07-20 18:21:07,293.75,29.28,58.9175,52.10605237367959
meramandali#secunderabad#bhushan,CTMSMU00,NL01AE1339,2020-07-19 13:06:07,2020-07-23 05:16:10,106368,2020-07-20 23:29:06,408.4,34.32,53.784444444444446,44.2147575845058
meramandali#secunderabad#bhushan,CTMSMU00,NL01AE1339,2020-07-19 13:06:07,2020-07-23 05:16:10,106341,2020-07-21 00:18:14,433.25,35.28,52.965555555555554,37.83083720644062
meramandali#secunderabad#bhushan,CTMSMU00,NL01AE1339,2020-07-19 13:06:07,2020-07-23 05:16:10,106339,2020-07-21 06:50:02,471.68,41.76,46.43555555555555,44.14007033676417
meramandali#secunderabad#bhushan,CTMSMU00,NL01AE1339,2020-07-19 13:06:07,2020-07-23 05:16:10,106378,2020-07-21 06:50:02,471.68,41.76,46.43555555555555,44.140216887342106
